Age,Salary,Expenses,RiskCategory,EmergencyFund,EquityAllocation,FixedIncomeAllocation,GoldAllocation,AdditionalNotes,DirectEquityAllocation,MutualFundAllocation,FDAllocation,RDAllocation,PPFAllocation,NSCAllocation
54,34711,31068,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
39,159110,85785,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
51,139550,77522,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
46,151837,78592,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
27,77691,48532,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
46,38956,29232,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
57,114873,65699,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
25,31922,24768,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
31,134502,102416,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
60,61920,37379,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
65,36007,18635,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
45,93594,81960,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
21,137296,94029,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
44,130435,79213,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
49,26237,19574,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
22,90809,62361,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
25,159575,110660,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
36,58070,30980,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
47,54103,33076,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
53,27906,21987,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
56,124868,77821,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
25,70580,59673,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
41,84706,61977,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
37,136057,108449,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
50,31182,15840,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
23,131733,107957,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
48,55562,45235,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
47,105317,89470,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
55,64352,42938,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
51,31020,19286,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
41,142679,93123,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
20,28122,20105,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
23,143551,88529,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
20,158001,140175,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
63,71758,48104,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
42,122383,79028,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
59,80866,52474,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
33,50054,39874,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
60,120297,66371,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
68,39403,23927,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
49,76469,68208,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
46,69749,52951,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
55,150601,104749,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
52,110820,92139,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
61,149257,104207,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
36,75145,39184,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
40,38431,19510,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
53,142843,106419,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
50,44894,25357,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
25,68377,44640,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
46,42090,35923,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
46,105838,71415,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
36,68264,34453,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
36,120523,97030,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
32,25600,14605,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
38,67791,57092,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
35,88768,62062,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
37,109820,85638,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
66,91380,47497,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
57,60317,35224,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
50,41629,33381,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
57,32306,16981,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
45,53117,43725,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
55,41844,26048,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
24,159115,114323,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
30,118497,96610,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
22,57538,32814,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
22,144265,81226,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
28,86493,66051,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
54,46230,29468,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
38,81294,60137,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
65,126827,66677,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
31,52479,35911,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
69,135588,99812,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
26,56703,39653,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
20,111348,74304,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
24,99290,86138,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
62,159694,108566,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
41,88921,65316,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
37,89783,67945,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
52,124020,86714,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
57,128714,105249,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
35,60705,43385,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
25,99404,64599,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
30,79317,52120,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
57,151834,126736,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
28,99322,82377,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
61,139521,104749,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
61,155230,137648,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
21,65640,35132,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
28,59789,46646,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
57,108524,94174,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
35,71954,40068,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
24,122089,102054,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
60,123244,75840,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
57,127845,65982,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
62,143764,106822,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
70,138168,113142,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
61,133217,78143,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
43,91557,53861,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
68,52335,36236,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
60,147846,102524,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
49,141879,99904,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
30,124177,93304,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
56,113762,68115,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
60,130346,76233,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
22,99992,50104,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
37,35563,23165,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
45,156844,124447,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
56,94634,73496,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
57,66010,49922,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
53,115674,98190,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
38,145859,98848,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
40,34107,30475,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
47,103279,52355,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
62,42120,24714,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
58,60892,39538,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
33,147590,89138,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
36,71264,39141,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
63,141629,77514,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
53,95596,60869,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
63,99721,85321,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
51,54260,37683,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
59,97755,79213,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
50,34015,21246,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
57,146069,99496,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
70,159561,109979,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
48,137440,122868,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
54,113654,77430,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
30,90109,78213,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
31,130034,85601,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
37,114563,102595,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
32,153646,116589,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
55,111641,91368,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
37,114256,77140,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
27,150943,121657,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
46,50634,32424,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
55,125022,67861,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
51,38970,26632,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
42,128352,85452,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
44,122414,85048,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
64,43746,29987,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
63,92942,57642,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
48,86918,72465,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
26,140726,71211,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
32,31622,23047,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
44,55538,43096,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
27,46256,26196,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
40,65297,48623,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
66,115663,71649,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
24,108030,97103,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
51,51734,46506,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
27,107839,62254,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
22,87648,67938,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
40,127663,102452,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
64,53766,46145,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
40,62659,33273,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
54,110034,80866,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
40,116438,97112,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
48,35437,29343,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
49,99555,84944,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
27,146828,113429,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
68,128302,108350,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
67,118985,78252,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
52,105998,55971,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
46,89629,45307,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
63,149334,81974,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
69,129624,98131,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
44,109534,94310,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
38,31929,27639,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
27,139270,92956,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
40,114256,96625,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
48,65116,35907,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
70,27045,15176,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
70,96337,78458,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
60,114929,94995,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
57,49895,37456,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
39,42420,24432,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
31,62484,51560,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
52,143575,72513,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
40,32836,20531,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
22,145411,125504,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
70,125965,98113,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
69,156122,103163,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
45,122913,72616,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
50,44683,37886,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
37,159199,91246,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
67,119524,71245,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
60,41815,22093,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
69,127013,84103,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
36,101475,61529,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
61,28032,22417,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
62,129689,64919,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
70,72028,63798,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
38,25338,19935,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
59,58615,49452,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
62,84106,68703,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
50,46706,25830,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
53,31561,26694,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
36,110257,87953,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
55,127358,112837,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
62,80495,62655,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
49,153228,90553,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
35,74920,63923,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
58,122904,103739,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
44,29161,18417,Moderate,6-12 months,45,45,10,Balanced portfolio focusing on wealth preservation with moderate growth exposure.,20,25,15,15,10,5
30,97017,81373,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
39,40201,20993,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
37,156142,138027,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
63,59485,33692,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
36,141598,96185,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
62,38694,27560,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
30,45873,25139,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
69,143606,76863,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
58,145389,104026,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
27,116398,103662,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
56,70454,54932,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
59,125055,81755,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
30,159012,92971,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
52,131447,80911,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
58,28263,21527,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
54,97366,59019,Low-Moderate,12 months,35,55,10,Focus on stability with a higher allocation in fixed income.,15,20,20,15,15,5
26,62098,41070,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
39,60575,33441,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
24,92620,48624,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
30,40098,22768,Moderate-High,6-12 months,55,25,15,Balanced approach with a good mix of equity and fixed income.,25,30,10,10,3,2
60,58962,34321,Low,12 months,25,65,10,Emphasize capital preservation and steady income; lower equity exposure.,10,15,25,15,20,5
24,88263,65204,High,3-6 months,75,10,15,Aggressive equity exposure via SIPs; focus on growth with modest liquidity.,35,40,6,4,0,0
